crash_ref_id,city_name_first,state_name_first,lat_coord_first,lon_coord_first,incident_year_first,incident_month_first,incident_time_first,hour_of_day_first,weekday_name_first,weekend_flag_first,is_night_time_first,peak_hour_flag_first,festival_name_first,route_category_first,lane_count_first,signal_present_flag_first,weather_condition_first,visibility_level_first,temp_celsius_first,congestion_level_first,road_surface_condition_first,primary_cause_first,alcohol_suspected_flag_first,road_hazard_flag_first,vehicle_count_first,dominant_vehicle_type_first,occupants_per_vehicle_first,total_occupants_in_crash_first,crash_severity_first,mean_speed_at_impact_kmph,max_speed_at_impact_kmph,min_speed_at_impact_kmph,speed_at_impact_std,mean_passenger_age,max_passenger_age,min_passenger_age,passenger_age_std,helmet_seatbelt_usage_rate,airbag_deployed_flag_mean,male_ratio,female_ratio,driver_ratio,rider_ratio,pillion_ratio,passenger_ratio,valid_license_ratio,invalid_license_ratio,occupant_record_count
0,pune,maharashtra,18.680827,73.930388,2023,10,5:00,5,sunday,1,1,0,,highway,3,1,fog,low,32,high,damp,weather,0,0,2,two_wheeler,2,4,fatal,81.775,105.0,69.5,16.09769652258774,26.25,31,20,4.645786621588784,0.5,0.0,0.5,0.5,0.0,0.75,0.25,0.0,0.5,0.5,4
1,mumbai,maharashtra,18.817732,72.790846,2023,5,4:00,4,sunday,1,1,0,,urban,4,0,clear,high,34,low,damaged_pavement,weather,0,0,4,truck,2,8,major,66.9125,92.4,52.8,13.088319492694895,35.625,49,26,7.52021086330506,0.5,0.0,0.75,0.25,0.625,0.0,0.0,0.375,0.75,0.25,8
2,mumbai,maharashtra,19.096889,72.819424,2024,7,13:00,13,wednesday,0,0,0,,urban,3,0,fog,low,21,medium,damp,weather,0,0,1,auto_rickshaw,1,1,minor,51.7,51.7,51.7,,34.0,34,34,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
3,chandigarh,punjab,30.787805,76.847507,2025,3,11:00,11,sunday,1,0,0,,urban,1,1,fog,low,30,high,damp,distraction,0,0,5,car,1,5,minor,37.46,49.6,21.8,10.173396679575609,28.8,43,17,10.183319694480774,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,5
4,chennai,tamil_nadu,12.965155,80.283313,2024,1,16:00,16,thursday,0,0,0,,highway,3,1,clear,high,24,low,damaged_pavement,distraction,0,0,2,two_wheeler,1,2,minor,25.7,28.4,23.0,3.8183766184073558,13.5,16,11,3.5355339059327378,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,2
5,delhi,delhi,28.79949,77.049666,2024,7,8:00,8,monday,0,0,1,,urban,5,1,clear,high,36,high,dry,overspeeding,0,0,4,two_wheeler,2,8,fatal,87.15,107.7,67.7,14.361854237627437,20.875,30,5,9.030701602232877,0.5,0.0,0.625,0.375,0.0,0.5,0.5,0.0,0.75,0.125,8
6,bangalore,karnataka,13.064327,77.530941,2025,3,6:00,6,monday,0,0,0,,highway,3,0,clear,high,33,high,damaged_pavement,drunk_driving,1,0,4,two_wheeler,1,4,minor,41.3,54.0,21.6,14.672877472852191,23.75,29,14,6.849574196011507,0.5,0.0,0.5,0.5,0.0,0.25,0.75,0.0,0.75,0.0,4
7,chandigarh,punjab,30.786617,76.733947,2023,5,14:00,14,sunday,1,0,0,,urban,3,1,clear,high,25,low,dry,weather,0,0,3,bus,11,33,major,61.57272727272728,86.4,35.8,11.97615528684166,29.96969696969697,60,7,12.800109492902905,0.0,0.0,0.7878787878787878,0.21212121212121213,0.06060606060606061,0.0,0.0,0.9393939393939394,0.696969696969697,0.18181818181818182,33
8,hyderabad,telangana,17.422447,78.464881,2022,2,3:00,3,friday,0,1,0,,urban,1,0,rain,low,22,low,wet,poor_road,0,1,1,car,1,1,minor,44.0,44.0,44.0,,31.0,31,31,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
9,bangalore,karnataka,12.939033,77.498966,2024,3,4:00,4,sunday,1,1,0,,rural,3,1,clear,high,23,low,dry,weather,0,0,1,auto_rickshaw,3,3,minor,30.733333333333334,39.5,15.1,13.572152862878218,35.333333333333336,44,20,13.316656236958787,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,3
